Date,Price,Open,High,Low,Vol.,Change %,Close
7/15/15,283.4,287.0,292.9,283.2,59.58K,-1.23%,287.0
7/14/15,287.0,290.4,297.0,285.2,60.62K,-1.17%,290.4
7/13/15,290.4,310.4,310.9,276.9,146.85K,-6.47%,310.4
7/12/15,310.4,292.0,315.9,291.3,120.70K,6.33%,292.0
7/11/15,292.0,283.6,298.8,282.3,46.49K,2.94%,283.6
7/10/15,283.6,269.1,297.9,266.9,117.17K,5.38%,269.1
7/9/15,269.1,268.6,272.3,265.1,48.39K,0.19%,268.6
7/8/15,268.6,266.2,273.6,263.2,45.29K,0.91%,266.2
7/7/15,266.2,269.1,271.3,263.2,41.61K,-1.07%,269.1
7/6/15,269.1,270.1,277.5,266.5,90.58K,-0.39%,270.1
7/5/15,270.1,260.5,274.1,257.6,48.45K,3.68%,260.5
7/4/15,260.5,255.4,261.1,253.4,32.95K,2.02%,255.4
7/3/15,255.4,254.9,256.7,252.4,36.58K,0.20%,254.9
7/2/15,254.9,257.6,261.3,253.1,45.01K,-1.06%,257.6
7/1/15,257.6,264.1,265.0,254.4,66.94K,-2.46%,264.1
6/30/15,264.1,257.0,268.7,255.4,116.53K,2.78%,257.0
6/29/15,257.0,248.9,257.5,248.0,92.64K,3.25%,248.9
6/28/15,248.9,250.7,251.6,246.6,39.89K,-0.74%,250.7
6/27/15,250.7,242.9,251.6,241.8,54.70K,3.20%,242.9
6/26/15,242.9,242.6,243.5,240.1,37.62K,0.16%,242.6
6/25/15,242.6,240.6,243.6,239.3,40.36K,0.83%,240.6
6/24/15,240.6,243.8,244.5,239.1,47.11K,-1.31%,243.8
6/23/15,243.8,247.5,247.7,242.3,38.43K,-1.50%,247.5
6/22/15,247.5,244.1,248.6,243.2,47.59K,1.38%,244.1
6/21/15,244.1,245.0,246.0,240.9,25.15K,-0.36%,245.0
6/20/15,245.0,244.1,246.6,238.7,51.28K,0.35%,244.1
6/19/15,244.1,248.4,250.8,243.6,84.70K,-1.73%,248.4
6/18/15,248.4,247.4,251.9,242.5,78.14K,0.43%,247.4
6/17/15,247.4,249.8,258.5,245.1,121.62K,-0.98%,249.8
6/16/15,249.8,237.0,254.1,235.7,122.47K,5.41%,237.0
6/15/15,237.0,233.8,238.6,233.3,63.47K,1.39%,233.8
6/14/15,233.8,232.5,235.5,232.1,32.90K,0.55%,232.5
6/13/15,232.5,230.5,233.1,229.0,38.01K,0.88%,230.5
6/12/15,230.5,229.9,231.6,229.3,40.75K,0.25%,229.9
6/11/15,229.9,228.8,230.6,228.5,38.00K,0.48%,228.8
6/10/15,228.8,229.6,230.4,227.8,41.64K,-0.34%,229.6
6/9/15,229.6,228.6,231.4,227.5,54.84K,0.43%,228.6
6/8/15,228.6,223.5,229.9,223.0,74.15K,2.28%,223.5
6/7/15,223.5,224.7,226.4,222.2,40.48K,-0.57%,224.7
6/6/15,224.7,225.3,225.8,223.5,22.47K,-0.24%,225.3
6/5/15,225.3,224.2,226.4,222.1,56.46K,0.48%,224.2
6/4/15,224.2,225.6,226.7,223.5,44.06K,-0.61%,225.6
6/3/15,225.6,225.7,227.9,223.7,54.35K,-0.07%,225.7
6/2/15,225.7,223.1,227.4,222.3,60.81K,1.17%,223.1
6/1/15,223.1,229.8,231.8,221.0,87.06K,-2.92%,229.8
5/31/15,229.8,233.2,234.0,229.1,39.00K,-1.45%,233.2
5/30/15,233.2,237.0,237.1,231.6,41.63K,-1.61%,237.0
5/29/15,237.0,237.3,237.9,235.1,38.92K,-0.12%,237.3
5/28/15,237.3,237.3,238.4,236.2,35.75K,0.00%,237.3
5/27/15,237.3,237.8,238.9,235.9,48.03K,-0.23%,237.8
5/26/15,237.8,237.4,239.0,235.6,37.08K,0.18%,237.4
5/25/15,237.4,241.0,241.8,235.8,26.39K,-1.48%,241.0
5/24/15,241.0,238.9,242.4,237.5,30.26K,0.85%,238.9
5/23/15,238.9,240.4,241.7,238.1,36.03K,-0.59%,240.4
5/22/15,240.4,235.4,242.0,234.6,74.11K,2.12%,235.4
5/21/15,235.4,234.0,236.6,233.6,42.94K,0.61%,234.0
5/20/15,234.0,232.0,235.2,231.5,49.69K,0.84%,232.0
5/19/15,232.0,232.6,234.5,231.3,40.94K,-0.27%,232.6
5/18/15,232.6,236.3,237.1,231.5,53.14K,-1.55%,236.3
5/17/15,236.3,236.2,237.8,235.4,28.43K,0.03%,236.2
5/16/15,236.2,237.2,237.8,234.6,27.05K,-0.41%,237.2
5/15/15,237.2,236.9,238.8,235.5,46.03K,0.13%,236.9
5/14/15,236.9,236.4,239.2,232.4,71.02K,0.22%,236.4
5/13/15,236.4,241.6,243.9,234.1,84.43K,-2.15%,241.6
5/12/15,241.6,241.8,243.0,239.2,40.08K,-0.10%,241.8
5/11/15,241.8,240.0,243.9,238.9,57.17K,0.77%,240.0
5/10/15,240.0,241.4,244.8,238.2,44.00K,-0.60%,241.4
5/9/15,241.4,243.7,247.9,238.5,62.79K,-0.96%,243.7
5/8/15,243.7,237.7,247.0,235.8,87.50K,2.53%,237.7
5/7/15,237.7,230.0,240.3,228.3,91.05K,3.35%,230.0
5/6/15,230.0,235.8,237.1,228.2,103.66K,-2.46%,235.8
5/5/15,235.8,239.0,239.6,231.8,77.87K,-1.32%,239.0
5/4/15,239.0,240.0,243.2,237.4,69.12K,-0.43%,240.0
5/3/15,240.0,235.3,243.6,233.8,55.72K,1.98%,235.3
5/2/15,235.3,233.2,236.4,231.7,37.08K,0.91%,233.2
5/1/15,233.2,235.8,239.4,232.4,60.14K,-1.09%,235.8
4/30/15,235.8,225.4,240.0,224.7,112.24K,4.59%,225.4
4/29/15,225.4,225.8,227.2,222.3,60.89K,-0.17%,225.8
4/28/15,225.8,229.0,229.9,222.0,65.97K,-1.38%,229.0
4/27/15,229.0,218.7,242.6,216.6,123.41K,4.69%,218.7
4/26/15,218.7,226.1,226.7,214.1,100.77K,-3.29%,226.1
4/25/15,226.1,231.1,232.3,223.1,43.78K,-2.14%,231.1
4/24/15,231.1,235.4,236.6,229.1,69.78K,-1.83%,235.4
4/23/15,235.4,233.8,236.1,232.6,42.45K,0.69%,233.8
4/22/15,233.8,233.7,238.4,231.8,77.56K,0.02%,233.7
4/21/15,233.7,224.2,235.3,223.3,68.35K,4.23%,224.2
4/20/15,224.2,223.0,226.7,221.6,44.87K,0.55%,223.0
4/19/15,223.0,223.4,226.9,222.0,35.50K,-0.15%,223.4
4/18/15,223.4,222.6,224.5,220.6,36.54K,0.34%,222.6
4/17/15,222.6,228.0,229.3,220.6,66.92K,-2.36%,228.0
4/16/15,228.0,223.0,229.5,222.9,84.89K,2.25%,223.0
4/15/15,223.0,218.0,223.6,217.1,77.23K,2.28%,218.0
4/14/15,218.0,223.6,224.7,214.3,115.19K,-2.50%,223.6
4/13/15,223.6,235.9,236.8,220.4,105.15K,-5.20%,235.9
4/12/15,235.9,236.5,237.5,232.3,33.03K,-0.27%,236.5
4/11/15,236.5,234.7,240.0,233.1,51.99K,0.75%,234.7
4/10/15,234.7,243.3,244.1,231.3,100.20K,-3.53%,243.3
4/9/15,243.3,244.6,246.2,237.6,69.19K,-0.51%,244.6
4/8/15,244.6,253.0,254.3,242.6,102.65K,-3.32%,253.0
4/7/15,253.0,255.0,255.6,250.1,44.79K,-0.78%,255.0
4/6/15,255.0,259.6,261.5,252.3,45.93K,-1.80%,259.6
4/5/15,259.6,252.9,260.3,250.6,43.83K,2.67%,252.9
4/4/15,252.9,254.5,255.2,250.3,30.72K,-0.62%,254.5
4/3/15,254.5,252.6,256.5,251.3,71.74K,0.74%,252.6
4/2/15,252.6,246.2,254.9,244.3,81.37K,2.58%,246.2
4/1/15,246.2,244.1,247.7,239.6,67.08K,0.86%,244.1
3/31/15,244.1,246.8,248.7,241.2,75.33K,-1.07%,246.8
3/30/15,246.8,242.1,248.8,236.6,85.33K,1.95%,242.1
3/29/15,242.1,252.0,252.8,238.9,77.54K,-3.94%,252.0
3/28/15,252.0,247.2,254.3,246.3,55.06K,1.95%,247.2
3/27/15,247.2,248.0,250.1,244.5,62.56K,-0.33%,248.0
3/26/15,248.0,246.4,254.7,243.5,89.47K,0.67%,246.4
3/25/15,246.4,246.7,249.2,234.8,131.44K,-0.14%,246.7
3/24/15,246.7,265.5,267.0,242.7,151.09K,-7.06%,265.5
